"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Publisher","Document Type","Publication Stage","Open Access","Source","EID"
"Kitova K.; Toleva B.; Ivanov I.; Ivanov I.","Kitova, Kalina (59492799900); Toleva, Borislava (58527763900); Ivanov, Ivelin (57197556853); Ivanov, Ivan (16202986300)","59492799900; 58527763900; 57197556853; 16202986300","Customer churn prediction in the bank sector: Advanced SMOTE techniques","2026","Proceedings of SPIE - The International Society for Optical Engineering","14180","","1418002","","","0","10.1117/12.3106793","https://www.scopus.com/pages/publications/105039851336?origin=resultslist","Faculty of Economics and Business Administration, Sofia University St. Kl. Ohridski, 125 Tzarigradsko shosse blv, Sofia, 1113, Bulgaria; Kolej Dobrich, Konstantin Preslavsky University of Shumen, 12 Dobrotica, Dobrich, Bulgaria","Kitova K., Faculty of Economics and Business Administration, Sofia University St. Kl. Ohridski, 125 Tzarigradsko shosse blv, Sofia, 1113, Bulgaria; Toleva B., Faculty of Economics and Business Administration, Sofia University St. Kl. Ohridski, 125 Tzarigradsko shosse blv, Sofia, 1113, Bulgaria; Ivanov I., Kolej Dobrich, Konstantin Preslavsky University of Shumen, 12 Dobrotica, Dobrich, Bulgaria; Ivanov I., Faculty of Economics and Business Administration, Sofia University St. Kl. Ohridski, 125 Tzarigradsko shosse blv, Sofia, 1113, Bulgaria","The concern of customer churn was most predominant due to the loss of customers or the inability of the banking sector to retain its clients. This research work utilized a Kaggle dataset containing details about bank clients. The experiments used four customer attrition prediction algorithms: Support Vector Machine (SVM), Random Forest (RF), and XGBoost. To address the class imbalance, three strategies utilizing the Synthetic Minority Oversampling Technique (SMOTE) were examined: Applying SMOTE to the training set, applying it to the entire dataset before data splitting, and applying it separately to both training and testing sets. One of the primary goals of this research is to examine how various SMOTE approaches interact with the data and impact the resulting outcomes. These findings showed that it would be best if XGBoost and Random Forest were implemented to show the best results among all the evaluated models. By the end of the hyperparameter tuning, it was possible to determine an ideology that saw classification errors grouped in the confusion matrix reduced to below 9%. The accuracy reached 91% with the help of the XGBoost model. © COPYRIGHT SPIE. Downloading of the abstract is permitted for personal use only.","Bank customer attrition; Churn prediction; Machine learning; Random Forest; SMOTE; XGboost","Banking; Classification (of information); Image retrieval; Pattern recognition; Sales; Statistical tests; Support vector machines; Bank customer attrition; Banking sectors; Churn predictions; Customer churn prediction; Customer churns; Machine-learning; Random forests; Synthetic minority over-sampling techniques; Training sets; Xgboost; Learning systems","SPIE","Conference paper","Final","","Scopus","2-s2.0-105039851336"
"Vanitha M.; Faritha Banu J.","Vanitha, M. (59895805100); Faritha Banu, J. (54959955500)","59895805100; 54959955500","Enhancing Customer Retention: A Federated Machine Learning Framework for Banking Churn Prediction","2025","2025 International Conference on Automation and Computation, AUTOCOM 2025","","","","143","148","0","10.1109/AUTOCOM64127.2025.10957571","https://www.scopus.com/pages/publications/105003902865?origin=resultslist","Srm Institute of Science and Technology, Faculty of Engineering and Technology, Department of Computer Science and Engineering, Bharathi Salai, Ramapuram, Tamil Nadu, Chennai, India","Vanitha M., Srm Institute of Science and Technology, Faculty of Engineering and Technology, Department of Computer Science and Engineering, Bharathi Salai, Ramapuram, Tamil Nadu, Chennai, India; Faritha Banu J., Srm Institute of Science and Technology, Faculty of Engineering and Technology, Department of Computer Science and Engineering, Bharathi Salai, Ramapuram, Tamil Nadu, Chennai, India","Customer attrition has become the significant challenge for the bank, making large volume of customers to migrate to other banks, as the banks keeps providing multiple benefits to the incoming customers. The loss due to migration of the existing customer to the competitive bankers creates the banking churn, means of loss of customer relationship with the bank, and affects the development, business and the profitability of the corresponding bank. It is essential to predict the banking churn with a primary objective of retaining the customers, considered as a critical task. To achieve this objective, banking sectors employ the customer behavioral analysis to determine the rate of customer churn, resulting in incorrect diagnosis of the churn rate. To over this concern, this research manuscript proposes a novel federated Machine Learning (ML) framework for the prediction of the customer churn, directly contributes for the enhancement of the customer retention. This proposed novel framework offers significant advancements for the banking prediction on customer retention, thus provides an accurate tool for the analysis of customer relationships. The proposed prediction framework is analyzed in terms of accuracy, precision, recall, F1 score and the performance is compared with the state of the art prediction methodologies. © 2025 IEEE.","Banking churn; Customer behavior prediction; Customer Retention; Machine Learning (ML)","Behavioral research; Customer satisfaction; Public relations; Sales; Banking churn; Behavior prediction; Customer behavior; Customer behavior prediction; Customer churns; Customer relationships; Customer retention; Learning frameworks; Machine learning; Machine-learning; Federated learning","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105003902865"
"Lee J.-H.; Nguyen V.-H.; Le H.-S.","Lee, Jong-Hwa (57487000100); Nguyen, Van-Ho (57199220074); Le, Hoanh-Su (57200087070)","57487000100; 57199220074; 57200087070","Predict customer churn in the banking sector: a machine learning approach with imbalanced data handling techniques","2026","International Journal of Advances in Intelligent Informatics","12","1","","267","282","0","10.26555/ijain.v12i1.2262","https://www.scopus.com/pages/publications/105033282038?origin=resultslist","Dong-Eui University, South Korea; University of Economics and Law, Viet Nam","Lee J.-H., Dong-Eui University, South Korea; Nguyen V.-H., University of Economics and Law, Viet Nam; Le H.-S., University of Economics and Law, Viet Nam","Customer value analysis is a critical component in formulating effective marketing and customer relationship management (CRM) strategies, especially in sectors where client movement and strong competition are prevalent A key element of this process lies in enhancing customer retention rates, as retaining existing clients is typically more cost-effective than acquiring new ones and directly contributes to improving overall profitability. In today’s banking environment, where customers can choose from a broad range of financial services, customer churn has become a critical challenge. Predicting and understanding attrition enables financial institutions to implement proactive and targeted interventions to protect market share and strengthen customer loyalty. This study analyzes a real-world dataset comprising 10,127 customer records from a commercial bank, where only 1,627 entries correspond to churned customers, thereby presenting a notable class imbalance problem. To address this, several data balancing techniques were applied, including class-weight adjustment, SMOTE, SMOTE-Tomek Links, and SMOTE-ENN. Multiple machine learning models-Support Vector Machine, Random Forest, Decision Tree, Logistic Regression, AdaBoost-were evaluated to identify the most effective approach for churn prediction. The Random Forest model achieved an 86% F1-score after applying SMOTE-Tomek Links, demonstrating strong predictive capability. The key contribution of this study lies in integrating advanced resampling techniques with ensemble learning and customer behavioral insights to improve churn prediction performance and support data-driven retention strategies in the banking sector. © 2026 The Author(s).","Churn Prediction; Customer churn; Ensemble Learning; Imbalance data handling; Machine Learning","","Universitas Ahmad Dahlan","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105033282038"
"Alassuli A.; Eltweri A.; Thuneibat N.S.; Al-Hajaya K.; Ismail S.M.","Alassuli, Abdalla (58078945600); Eltweri, Ahmed (57221941578); Thuneibat, Nawaf Samah (57221199420); Al-Hajaya, Krayyem (57455162400); Ismail, Saad M. (60430291600)","58078945600; 57221941578; 57221199420; 57455162400; 60430291600","Artificial Intelligence Applications and Financial Forecasting Accuracy in Banking Platforms: Evidence from Jordan","2026","Administrative Sciences","16","3","122","","","0","10.3390/admsci16030122","https://www.scopus.com/pages/publications/105034312277?origin=resultslist","Department of Accounting, College of Business, Amman Arab University, AAU, Amman, 11953, Jordan; Accounting and Finance, Liverpool Business School, Liverpool John Moores University, Liverpool, L1 9DE, United Kingdom; Department of Accounting, Business School, Mutah University, Alkarak, 61710, Jordan; Department of Accounting, College of Business Administration, American University of the Middle East, Egaila, 54200, Kuwait; College of Information Technology, Amman Arab University (AAU), Amman, 11953, Jordan","Alassuli A., Department of Accounting, College of Business, Amman Arab University, AAU, Amman, 11953, Jordan; Eltweri A., Accounting and Finance, Liverpool Business School, Liverpool John Moores University, Liverpool, L1 9DE, United Kingdom; Thuneibat N.S., Department of Accounting, Business School, Mutah University, Alkarak, 61710, Jordan; Al-Hajaya K., Department of Accounting, College of Business Administration, American University of the Middle East, Egaila, 54200, Kuwait; Ismail S.M., College of Information Technology, Amman Arab University (AAU), Amman, 11953, Jordan","The continued digitalisation of banking systems has raised a demand for more reliable data-based decision-making, in particular when referring to financial forecasts as covered by e-banking applications. This research also investigates the usage of AI-based decision-making systems to facilitate forecasting effectiveness in Jordanian commercial banks. Field research was carried out and 390 employees, working at 14 commercial banks in Jordan, responded to an organised questionnaire. Although the minimum required sample size was 384 respondents, a total of 390 valid responses were collected and used in the final analysis, thereby exceeding the minimum sample requirement. This research concentrates on three dominant categories of AI applications, including expert systems (ES), machine learning (ML), and Robotic Process Automation (RPA), which together are analysed for their effect on forecasting results in the context of customer churn, debt repayment, as well as investment analysis. The results of the multiple regression analysis indicate that AI applications contribute to improvements in forecasting accuracy, with machine learning and RPA showing relatively stronger effects. Expert systems were found to support investment analysis and debt repayment forecasting; however, their influence on customer churn prediction was more limited. In general, the findings indicate that AI applications are not confined to routine automation but are increasingly used as decision-support tools that assist financial analysis and forecasting activities in banking systems. © 2026 by the authors.","artificial intelligence; banking platforms; digital decision-making; digital finance; financial forecasting accuracy; machine learning; robotic process automation","","Multidisciplinary Digital Publishing Institute (MDPI)","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-105034312277"
"Gulati A.; Nikita; Sharma H.; Bhardwaj V.","Gulati, Atharv (60522628600); Nikita (60644913900); Sharma, Harish (56229215400); Bhardwaj, Vivek (57219288783)","60522628600; 60644913900; 56229215400; 57219288783","Bank Customer Churn Prediction Using Machine Learning: A Comparative Study with SMOTE-Based Class Balancing","2025","Proceedings of 10th International Conference on Communication and Electronics Systems, ICCES 2025","","","","1777","1781","1","10.1109/ICCES67310.2025.11336881","https://www.scopus.com/pages/publications/105033533112?origin=resultslist","School of Computer Science and Engineering, Manipal University Jaipur, Jaipur, India; Amity School of Engineering & Technology, Amity University Punjab, Punjab, Mohali, 140306, India","Gulati A., School of Computer Science and Engineering, Manipal University Jaipur, Jaipur, India; Nikita, School of Computer Science and Engineering, Manipal University Jaipur, Jaipur, India; Sharma H., School of Computer Science and Engineering, Manipal University Jaipur, Jaipur, India; Bhardwaj V., Amity School of Engineering & Technology, Amity University Punjab, Punjab, Mohali, 140306, India","In an increasingly competitive financial landscape, customer retention has become essential for banks to maintain profitability and ensure long-term growth. This study presents a machine learning-based churn prediction model tailored for the banking sector, with the goal of identifying customers at risk of attrition. A comprehensive dataset incorporating demographic, transactional, and behavioral features was used to train and evaluate several classification models, including Logistic Regression, Support Vector Machine (SVM), k-Nearest Neighbors (KNN), Decision Tree, Random Forest, Gradient Boosting Decision Tree (GBDT), XGBoost, LightGBM, and Extra Trees. To address class imbalance in the dataset, Synthetic Minority Over-sampling Technique (SMOTE) was applied, significantly enhancing model performance. Post-tuning evaluation shows that XGBoost achieved the highest accuracy (97.04%), F1-score (0.9038), and AUC-ROC (0.9925), followed closely by LightGBM and Random Forest. In contrast, models such as SVM and KNN underperformed, demonstrating limited practical utility. The results affirm the effectiveness of ensemble models-especially XGBoost-in churn prediction tasks, enabling banks to implement proactive retention strategies with high accuracy. The study emphasizes the importance of integrating advanced machine learning techniques and class balancing strategies to improve the reliability of predictive models in the banking domain. © 2025 IEEE.","Banking Analytics; Customer Churn Prediction; Machine Learning; XGBoost and SMOTE","Balancing; Banking; Classification (of information); Customer satisfaction; Decision trees; Forecasting; Learning systems; Logistic regression; Nearest neighbor search; Prediction models; Random forests; Support vector regression; Banking analytic; Churn predictions; Comparatives studies; Customer churn prediction; High-accuracy; Machine-learning; Nearest-neighbour; Random forests; Synthetic minority over-sampling techniques; Xgboost and synthetic minority over-sampling technique; Sales","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105033533112"
"Sultonov B.; Akhmedova D.; Matyaqubov H.; Falina N.; Shankar K.","Sultonov, Bunyodbek (59715868600); Akhmedova, Dilrabo (59132833900); Matyaqubov, Hamdam (59715673600); Falina, Natalia (57211354621); Shankar, K. (56884031900)","59715868600; 59132833900; 59715673600; 57211354621; 56884031900","Advancement in Customer Attrition Prediction: Design of Optimal Triple Refined Indeterminate Neutrosophic Sets in Large-Scale Financial Sectors","2025","International Journal of Neutrosophic Science","26","2","","29","40","0","10.54216/IJNS.260204","https://www.scopus.com/pages/publications/105001435085?origin=resultslist","Institute of Economics and Management, Herzen State Pedagogical University of Russia, Saint Petersburg, 191186, Russian Federation; Department of Economics, Mamun University, Khiva, 220900, Uzbekistan; Department of History, Urgench State University, Urgench, 220100, Uzbekistan; Finance Department, Kuban State Agrarian University named after I.T. Trubilin, Krasnodar, 350044, Russian Federation; Department of Computer Science and Engineering, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Chennai, 602105, India","Sultonov B., Institute of Economics and Management, Herzen State Pedagogical University of Russia, Saint Petersburg, 191186, Russian Federation; Akhmedova D., Department of Economics, Mamun University, Khiva, 220900, Uzbekistan; Matyaqubov H., Department of History, Urgench State University, Urgench, 220100, Uzbekistan; Falina N., Finance Department, Kuban State Agrarian University named after I.T. Trubilin, Krasnodar, 350044, Russian Federation; Shankar K., Department of Computer Science and Engineering, Saveetha School of Engineering, Saveetha Institute of Medical and Technical Sciences, Chennai, 602105, India","Background: Neutrosophy is the subject area of philosophy that researches all associated with neutralities, owing to the contradictory information, lack of information, imprecise and paradoxical information, among them. The scale's design is organized to take the subjective quality of opinion, being responsible for either uncertainty or the indeterminacy of the respondents' opinions. It relies on the triple refined indeterminate neutrosophic sets (NS) for improved accuracy in understanding the agreement or disagreement level on particular items, like the competence of activities cost and financial management inside the legal services. Currently, customer abrasion is more and more serious in commercial banks, mainly, high-valued customers in retail banking. Therefore, it is stimulated to advance a prediction mechanism and recognize this customer may be at attrition risk. Thus, recognizing and lowering customer churn has become important for financial institutions trying to maintain customers. Currently, several researchers concentrate on customer attrition rate studies utilizing sophisticated machine learning (ML) and deep learning (DL) methods. Methodology: This study develops a Customer Attrition Prediction Using Triple Refined Indeterminate Neutrosophic Sets with an Optimization Algorithm (CAP-TRINSOA) technique. The main aim of the CAP-TRINSOA technique is to improve the attrition prediction of a customer in large-scale financial sectors using state-of-the-art techniques. In the initial stage, the data normalization employs mean normalization to transfer input data into an even format. Furthermore, the classification process is performed by implementing the triple refined indeterminate neutrosophic sets (TRINS). Finally, the honey badger algorithm (HBA) alters the parameter tuning value of the TRINS method optimally and results in greater performance of classification. Results: An extensive set of simulations is accomplished to exhibit the promising results of the CAP-TRINSOA method under the bank customer churn prediction dataset. The experimental validation of the CAP-TRINSOA technique portrayed a superior accuracy value of 97.65% over exisitng model in the customer attrition prediction process. © 2025, American Scientific Publishing Group (ASPG). All rights reserved.","Customer Attrition Prediction; Financial Sectors; Honey Badger Algorithm; Neutrosophic Sets; Neutrosophy; Triple Refined Indeterminate Neutrosophic Sets","","American Scientific Publishing Group (ASPG)","Article","Final","","Scopus","2-s2.0-105001435085"
"Rana M.S.; Chouksey A.; Hossain S.; Sumsuzoha M.; Bhowmik P.K.; Hossain M.; Rabby M.F.; Gurung N.; Zeeshan M.A.F.","Rana, Md. Sohel (59667252900); Chouksey, Anchala (59667853700); Hossain, Saddam (59668164600); Sumsuzoha, Md (59667407200); Bhowmik, Proshanta Kumar (59667704400); Hossain, Miraz (59668007400); Rabby, Md Fazlay (59668007500); Gurung, Nisha (59667407300); Zeeshan, MD Abdul Fahim (59667554900)","59667252900; 59667853700; 59668164600; 59667407200; 59667704400; 59668007400; 59668007500; 59667407300; 59667554900","AI-Driven Predictive Modeling for Banking Customer Churn: Insights for the US Financial Sector","2025","Journal of Ecohumanism","4","1","","3478","3497","4","10.62754/joe.v4i1.6188","https://www.scopus.com/pages/publications/85219653172?origin=resultslist","University of Cumberlands, United States; University of North Texas, Denton, TX, United States; Gannon University, Erie, PA, United States; Trine University, United States; Department of Business Analytics, Trine University, Angola, IN, United States; Westcliff University, United States; American International University, United States","Rana M.S., University of Cumberlands, United States; Chouksey A., University of North Texas, Denton, TX, United States; Hossain S., Gannon University, Erie, PA, United States; Sumsuzoha M., Trine University, United States; Bhowmik P.K., Department of Business Analytics, Trine University, Angola, IN, United States; Hossain M., Westcliff University, United States; Rabby M.F., American International University, United States; Gurung N., Gannon University, Erie, PA, United States; Zeeshan M.A.F., Gannon University, Erie, PA, United States","The US banking sector is operating within a very dynamic and competitive environment, providing a wide array of services under the pressure of increasingly demanding customers. Customer churn in the context of financial institutions is defined as the phenomenon of customers terminating their relationship with a bank. The central tenet of this research project was to devise and develop predictive models of artificial intelligence that can help address the issue of customer churn from the banking perspective. The dataset of banking customer churn prediction used for this analysis comprises a comprehensive set of data about customers from a leading financial institution. It includes extensive customer records, each described by features representing different dimensions of customer behavior and demographics. The three most influential algorithms were selected for this study: Logistic Regression, Random Forest, and XG-Boost. Each model has different strengths that are quite appropriate for the intrinsic complexities of the customer churn forecast. Random Forest was the best in terms of accuracy among the models, with a relative accuracy, which may indicate that this algorithm fits the underlying pattern in the data best. The integration of AI-driven churn prediction models in the US financial sector has far-reaching implications for banks, enhancing their operational efficiency and customer relationship management. First and foremost, it can identify at-risk customers with a high degree of accuracy, thus helping the banks to implement focused retention strategies that can bring down the churn rate significantly. © 2025, Creative Publishing House. All rights reserved.","Artificial Intelligence; Banking Industry; Customer Churn; Machine Learning; Predictive Modelling; US Financial Sector","","Creative Publishing House","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85219653172"
"","","","3rd International Conference on Data, Electronics and Computing, ICDEC 2024","2026","Lecture Notes in Networks and Systems","1455 LNNS","","","","","0","","https://www.scopus.com/pages/publications/105023488029?origin=resultslist","","","The proceedings contain 33 papers. The special focus in this conference is on Data, Electronics and Computing. The topics include: Multilingual Automatic Briefing Generation in Spanish, Japanese, Italian, German, Czech, Turkish, English, Dutch, Vietnamese, and Indonesian: Multilingual Automatic Briefing Generation; Cyrillic URL: A Malicious Website Classification Using Deep Neural Network; predicting Customer Churn in Banking Sector Using Machine Learning Classification Algorithms; Advancements in SQL Query Generation Schemes in the Field of Natural Language Processing: A Comprehensive Overview; an Improved Cryptanalysis of Knapsack Cryptosystem Using Dingo Optimizer; sentiment Analysis During Covid-19 Pandemic: A Comparative Study; temperature-Wave Analysis: A Work with Ensemble Regression Prediction Method; optimizing Carp Fish Classification with Weighted Voting Ensemble; towards Design of an Integrated System for Bengali Text Document Retrieval, Clustering, Cluster Label Generation and Document Summarization; carp-Trans-Attention: Applying Attention to the Pre-trained Convolutional Feature Maps for Carp Classification; Hybrid Learning Rate Schedule for Enhanced Deep Learning in LoRaWAN-IoT Localization; framework for Efficient Task Scheduling and Resource Allocation in Fog-Computing Network: Alliance Formation Using Game Theory Approach; Student Stress Prediction Using Interactive Multi-modal AI; COVLoS-Net: An Automated System to Predict COVID-19 Infected Patient’s Length of Stay (LoS) in Hospital; barbell Exercise Classification and Repetition Counting; Analyzing Mental Health of Minority Communities on Twitter Using Keyword Extraction and LDA Topic Modeling; CentroidX-GAN: A Centroid-Based Text-to-Chest X-Ray Image Synthesis Model Using Generative Adversarial Network; an Ensemble Framework Approach of Hybrid Quantum Convolutional Neural Networks for Classification of Breast Cancer Images; LSTM-PPI: A Deep Learning-Based Protein–Protein Interaction Prediction Strategies for Human Proteome; enhanced Breast Cancer Diagnosis from Mammogram Images with Deep Feature Fusion and Meta-Heuristic Optimization; How to Use Data Mining Techniques in CRM?.","","","Springer Science and Business Media Deutschland GmbH","Conference review","Final","","Scopus","2-s2.0-105023488029"
"Sharma V.; Gupta K.K.; Dhanda N.","Sharma, Vaibhavi (60616649000); Gupta, Kapil Kumar (57210542491); Dhanda, Namrata (55440790600)","60616649000; 57210542491; 55440790600","Predicting Customer Churn Using Machine Learning Technique","2026","Proceedings of 2nd International Conference on Multi-Agent Systems for Collaborative Intelligence, ICMSCI 2026","","","","794","799","0","10.1109/ICMSCI67830.2026.11469657","https://www.scopus.com/pages/publications/105037896469?origin=resultslist","Amity University, Computer Science & Engineering Department, Uttar Pradesh, Lucknow, India","Sharma V., Amity University, Computer Science & Engineering Department, Uttar Pradesh, Lucknow, India; Gupta K.K., Amity University, Computer Science & Engineering Department, Uttar Pradesh, Lucknow, India; Dhanda N., Amity University, Computer Science & Engineering Department, Uttar Pradesh, Lucknow, India","Customer churn is a critical issue in the telecommunications sector because retaining current customers is more economical than attracting new ones. High market competition and minimal switching barriers enable customers to easily change service providers. In this study, a machine learning-based system was developed to predict customer churn and identify users who are likely to discontinue their services. A real-world telecom customer dataset containing demographic, financial, and service-related information such as tenure, monthly charges, technical support, and internet services was used. The data was processed through a structured pipeline that included data cleaning, feature engineering, exploratory data analysis (EDA), model training, and performance evaluation. Four classification models: XGBoost, Random Forest, Logistic Regression, and, Decision Tree were applied for churn prediction. The analysis showed that customers with shorter tenure, higher monthly charges, and no technical support were more likely to churn. In contrast, customers using value-added services such as OTT platforms showed lower churn rates. Model performance was evaluated using ROC-AUC, F1-score, recall, precision and accuracy. Among all models, XGBoost achieved the best results with an accuracy of 90.3% and an ROC-AUC score of 0.93. The results suggest that machine learning can effectively support telecom companies in identifying high-risk customers and improving retention strategies. This study also helped us understand how datadriven methods can be applied to solve real-world business problems. In the future, explainable AI techniques, real-time dashboards, and applications in other domains such as banking and e-commerce can be explored.  © 2026 IEEE.","classification; Customer churn; data preprocessing; machine learning; predictive modeling; telecom analytics; XGBoost","Competition; Decision trees; Information systems; Logistic regression; Machine learning; Predictive analytics; Random forests; Sales; Telecommunication industry; Telecommunication services; Customer churns; Data preprocessing; Machine learning techniques; Machine-learning; Modeling performance; Predictive models; Real-world; Telecom; Telecom analytic; Xgboost; Learning systems","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105037896469"
"Bussey K.; Ghareeb S.; Mustafina J.","Bussey, Kathryn (60538801000); Ghareeb, Shatha (57216730545); Mustafina, Jamila (56584536900)","60538801000; 57216730545; 56584536900","Bank Customer Churn Prediction: A Machine Learning Approach","2025","Proceedings - 18th International Conference on Developments in eSystems Engineering, DeSE 2025","","","","453","458","0","10.1109/DeSE68208.2025.11367920","https://www.scopus.com/pages/publications/105034172337?origin=resultslist","Teesside University, Middlesbrough, United Kingdom; Kazan Federal University Kazan, Russian Federation","Bussey K., Teesside University, Middlesbrough, United Kingdom; Ghareeb S., Teesside University, Middlesbrough, United Kingdom; Mustafina J., Kazan Federal University Kazan, Russian Federation","This study assesses four machine learning (ML) algorithms - Decision Tree (DT), Random Forest (RF), K-Nearest Neighbours (KNN) and Support Vector Machines (SVM) - for predicting customer churn in banking. It explores optimisation methods including SMOTE, hyperparameter tuning and feature importance to enhance model effectiveness. Results indicate that RF outperforms the others, showing significant metric improvements over previous studies.  © 2025 IEEE.","Customer churn; Decision Tree; K-Nearest Neighbours; Machine learning; Random Forest; Support Vector Machines","Data mining; Intelligent systems; Learning systems; Nearest neighbor search; Random forests; Sales; Support vector machines; Customer churn prediction; Customer churns; K-near neighbor; Machine learning algorithms; Machine learning approaches; Machine-learning; Nearest-neighbour; Optimization method; Random forests; Support vectors machine; Decision trees","Institute of Electrical and Electronics Engineers Inc.","Conference paper","Final","","Scopus","2-s2.0-105034172337"
